Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
2467,In-house,CdTe,No-shell,4.5,566,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,53.1,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2468,In-house,CdTe,No-shell,4.5,566,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,168,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,45.1,NA,Under50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2469,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,55.1,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2470,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,72,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,69.1,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2471,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,47.1,NA,IC50,4.7E+01,2.8E+02,4.7E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2472,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,153.0,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2473,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,71.8,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2474,In-house,CdTe,No-shell,4.5,564,Hydrophilic-Polymer,PVA,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,168,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,58.3,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2475,In-house,CdTe,No-shell,4.5,563,Hydrophilic-Polymer,PSS,Negative,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,51.2,NA,IC50,5.0E+01,3.0E+02,5.0E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2476,In-house,CdTe,No-shell,4.5,563,Hydrophilic-Polymer,PSS,Negative,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,72,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,60.3,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2477,In-house,CdTe,No-shell,4.5,563,Hydrophilic-Polymer,PSS,Negative,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,39.8,NA,IC50,3.0E+01,1.8E+02,3.0E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2478,In-house,CdTe,No-shell,4.5,563,Hydrophilic-Polymer,PSS,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,103.0,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2479,In-house,CdTe,No-shell,4.5,563,Hydrophilic-Polymer,PSS,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,70.4,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2480,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,168,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,56.9,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2481,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,38.1,NA,IC50,3.5E+01,2.1E+02,3.5E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2482,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,72,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,42.0,NA,IC50,2.5E+01,1.5E+02,2.5E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2483,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,Cal27,Human ,Cell-line,Tongue,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,26.4,NA,Under50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2484,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,57.9,NA,Over50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2485,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,120,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,22.7,NA,IC50,1.7E+01,9.8E+01,1.7E+01,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2486,In-house,CdTe,No-shell,4.5,560,Amphiphilic-polymer,PDDA/Amphiphilic-polymer,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,168,3.0E+02,9.9E+03,6.0E+09,2.3E+01,6.9E+00,16.4,NA,Under50,NA,NA,NA,7.4E+01,1.3E+01,3.0E+02,5.0E+01,1.9E+04,402,
2487,In-house,CdSe,ZnS,5.5,620,Hydrophilic-Polymer,PAA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,12,3.1E+02,2.1E+03,1.2E+09,3.0E+01,1.8E+00,54.5,9.3,Over50,NA,NA,NA,6.2E+00,1.6E+00,3.1E+02,8.1E+01,2.9E+04,403,
2488,In-house,CdSe,ZnS,5.5,620,Hydrophilic-Polymer,PAA-azide,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,12,3.1E+02,2.1E+03,1.2E+09,3.0E+01,1.8E+00,43.1,8.5,IC50,4.8E+01,1.8E+02,4.8E+01,6.2E+00,1.6E+00,3.1E+02,8.1E+01,2.9E+04,403,
2489,In-house,CdSe,ZnS,5.5,620,Hydrophilic-Polymer,PAA-azide-NLS,Positive,Delivery-Peptide,NLS,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,12,3.1E+02,2.1E+03,1.2E+09,3.0E+01,1.8E+00,37.6,3.9,IC50,4.8E+01,1.9E+02,4.8E+01,6.2E+00,1.6E+00,3.1E+02,8.1E+01,2.9E+04,403,
2490,In-house,CdTe,No-shell,6.3,560,Aminoacid,GSH-CpG,Zwitterion,Nucleicacid,CpG,Monocyte,RAW264-7,Mouse,Cell-line,Blood,MTT,Active,24,1.0E+02,2.0E+03,1.2E+09,2.2E+01,3.9E+00,70.0,7.0,Over50,NA,NA,NA,5.0E+00,2.3E+00,1.0E+02,4.6E+01,1.2E+04,404,
2491,In-house,CdTe,CdS,4.0,580,Aminoacid,L-Cysteine,Negative,Aminoacid,Cysteine,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,MTT,Active,48,1.5E+02,1.5E+03,8.8E+08,9.4E+00,8.4E-01,95.0,5.0,Over50,NA,NA,NA,9.2E+00,1.0E+00,1.5E+02,1.6E+01,7.4E+03,405,
2492,In-house,CdTe,CdS,4.0,580,Aminoacid,L-Cysteine-Melphalan,Negative,Toxin,Melphalan,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,MTT,Active,48,1.5E+02,1.5E+03,8.8E+08,9.4E+00,8.4E-01,18.0,5.0,IC50,6.0E+00,5.5E+01,6.0E+00,9.2E+00,1.0E+00,1.5E+02,1.6E+01,7.4E+03,405,
2493,In-house,CdTe,CdS,4.0,580,Aminoacid,L-Cysteine,Negative,Aminoacid,Cysteine,Epithelial,HBL-100,Human ,Cell-line,Breast,MTT,Active,48,1.5E+02,1.5E+03,8.8E+08,9.4E+00,8.4E-01,95.0,4.0,Over50,NA,NA,NA,9.2E+00,1.0E+00,1.5E+02,1.6E+01,7.4E+03,405,
2494,In-house,CdTe,CdS,4.0,580,Aminoacid,L-Cysteine-Melphalan,Negative,Toxin,Melphalan,Epithelial,HBL-100,Human ,Cell-line,Breast,MTT,Active,48,1.5E+02,1.5E+03,8.8E+08,9.4E+00,8.4E-01,78.0,2.0,Over50,NA,NA,NA,9.2E+00,1.0E+00,1.5E+02,1.6E+01,7.4E+03,405,
2495,In-house,CdTe,No-shell,3.1,575,Alkylthiol,MSA,Negative,Unmodified,Unmodified,Fibroblast,CRL-163,Mouse,Cell-line,Embryo,MTS,Passive,24,1.0E+01,5.0E+01,3.0E+07,2.6E-01,1.1E-02,99.0,5.0,Over50,NA,NA,NA,1.0E-01,5.5E-03,1.0E+01,5.5E-01,3.0E+02,406,
2496,In-house,CdTe,No-shell,3.5,613,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,BY-2,Tobacco,Cell-line,Callus,Others,Passive,24,5.0E+03,1.7E+03,1.0E+09,1.9E+02,5.5E-01,89.7,2.0,Over50,NA,NA,NA,1.0E+03,7.9E+01,5.0E+03,4.0E+02,1.9E+05,407,
2497,In-house,CdTe,No-shell,3.5,613,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,BY-2,Tobacco,Cell-line,Callus,Others,Passive,48,5.0E+03,1.7E+03,1.0E+09,1.9E+02,5.5E-01,67.5,3.0,Over50,NA,NA,NA,1.0E+03,7.9E+01,5.0E+03,4.0E+02,1.9E+05,407,
2498,In-house,CdTe,No-shell,3.5,613,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,BY-2,Tobacco,Cell-line,Callus,Others,Passive,72,5.0E+03,1.7E+03,1.0E+09,1.9E+02,5.5E-01,65.6,4.0,Over50,NA,NA,NA,1.0E+03,7.9E+01,5.0E+03,4.0E+02,1.9E+05,407,
2499,In-house,CdTe,No-shell,3.5,613,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,BY-2,Tobacco,Cell-line,Callus,Others,Passive,96,5.0E+03,1.7E+03,1.0E+09,1.9E+02,5.5E-01,11.7,7.0,IC50,1.6E+02,2.0E+03,1.6E+02,1.0E+03,7.9E+01,5.0E+03,4.0E+02,1.9E+05,407,
2500,Commercial,CdSe,ZnS,4.0,530,PEG,SH-PEG-COOH,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,Calcein,Passive,1,1.0E+04,1.0E+05,6.0E+10,2.8E+02,2.5E+01,95.0,6.0,Over50,NA,NA,NA,NA,NA,1.0E+04,9.6E+02,5.0E+05,408,
2501,In-house,CdSeTe,No-shell,4.3,681,Aminoacid,NAC,Neutral,Antioxidant,NAC,Epithelial,A431,Human ,Cell-line,Skin,MTT,Active,24,6.8E+02,6.8E+03,4.1E+09,5.4E+01,4.8E+00,29.4,5.0,IC50,4.0E+01,2.7E+02,4.0E+01,8.5E+00,1.3E+00,6.8E+02,1.0E+02,3.9E+04,409,
2502,In-house,CdSeTe,No-shell,4.3,681,Amphiphilic-polymer,OctaAminopropyl-POSS,Negative,Unmodified,Unmodified,Epithelial,A431,Human ,Cell-line,Skin,MTT,Passive,24,6.8E+02,6.8E+03,4.1E+09,5.4E+01,4.8E+00,50.0,5.0,IC50,9.0E+01,6.1E+02,9.0E+01,8.5E+00,1.3E+00,6.8E+02,1.0E+02,3.9E+04,409,
2503,In-house,CdTe,No-shell,3.5,570,Alkylthiol,Mercaptoethanol,Neutral,Unmodified,Unmodified,Epithelial,HaCaT,Human ,Cell-line,Skin,MTT,Passive,24,2.5E+03,2.0E+04,1.2E+10,9.4E+01,6.7E+00,37.5,3.0,IC50,1.7E+02,2.1E+03,1.7E+02,2.5E+02,2.0E+01,2.5E+03,2.0E+02,9.7E+04,410,
2504,In-house,CdTe,No-shell,4.5,570,Polyol,PLA,Negative,Unmodified,Unmodified,Epithelial,HaCaT,Human ,Cell-line,Skin,MTT,Passive,24,1.2E+03,9.5E+03,5.7E+09,9.4E+01,6.7E+00,93.1,4.0,Over50,NA,NA,NA,1.2E+02,2.0E+01,1.2E+03,2.0E+02,7.6E+04,410,
2505,In-house,CdTe,No-shell,3.5,570,Alkylthiol,Mercaptoethanol,Neutral,Unmodified,Unmodified,Epithelial,HaCaT,Human ,Cell-line,Skin,MTT,Passive,48,2.5E+03,2.0E+04,1.2E+10,9.4E+01,6.7E+00,11.1,2.0,IC50,9.5E+01,1.2E+03,9.5E+01,2.5E+02,2.0E+01,2.5E+03,2.0E+02,9.7E+04,410,
2506,In-house,CdTe,No-shell,4.5,570,Polyol,PLA,Negative,Unmodified,Unmodified,Epithelial,HaCaT,Human ,Cell-line,Skin,MTT,Passive,48,1.2E+03,9.5E+03,5.7E+09,9.4E+01,6.7E+00,79.2,3.0,Over50,NA,NA,NA,1.2E+02,2.0E+01,1.2E+03,2.0E+02,7.6E+04,410,
2507,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,0.5,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,105.0,3.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2508,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,2,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,95.0,3.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2509,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,4,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,100.0,1.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2510,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,8,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,94.0,2.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2511,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,90.0,5.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2512,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,85.0,4.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2513,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,0.5,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,105.0,1.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2514,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,2,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,100.0,3.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2515,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,4,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,96.0,5.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2516,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,8,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,95.0,1.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2517,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,24,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,87.0,3.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2518,In-house,CdTe,CdS,6.0,734,Aminoacid,Cysteine-Lysine-Cysteine-FA,Positive,Drug,Peptide-FolicAcid,Epithelial,A549,Human ,Cell-line,Lung,MTT,Active,24,3.0E+00,3.0E+01,1.8E+07,7.5E-01,6.7E-02,80.0,3.0,Over50,NA,NA,NA,7.5E-01,2.5E-01,3.0E+00,1.0E+00,3.4E+02,411,
2519,Commercial,CdSeS,ZnS,4.5,575,Alkylthiol-PEG,MUA-mPEG-SH-NLS,Negative,Delivery-Peptide,NLS,Epithelial,HeLa,Human ,Cell-line,Cervix,XTT,Active,1,5.0E+00,1.0E+01,6.0E+06,1.4E-01,2.5E-03,97.6,2.6,Over50,NA,NA,NA,NA,NA,5.0E+00,6.6E-01,3.2E+02,412,
2520,In-house,CdSe,ZnS,7.3,617,Other-Hydrophilic,TMAOH-FGF,Positive,Protein,FGF,Stem-cell,hAM-dMSCs,Human ,Primary,Amniotic-membrane,MTT,Active,24,5.5E+00,5.5E+01,3.3E+07,5.2E-01,4.7E-02,76.1,1.7,Over50,NA,NA,NA,1.4E+00,7.5E-01,5.5E+00,3.0E+00,9.1E+02,413,
2521,In-house,CdSe,ZnS,7.3,617,Other-Hydrophilic,TMAOH-FGF,Positive,Protein,FGF,Stem-cell,hAM-dMSCs,Human ,Primary,Amniotic-membrane,MTT,Active,48,5.5E+00,5.5E+01,3.3E+07,5.2E-01,4.7E-02,20.1,1.9,IC50,2.3E+00,4.1E+00,2.3E+00,1.4E+00,7.5E-01,5.5E+00,3.0E+00,9.1E+02,413,
2522,In-house,CdSe,ZnS,7.3,617,Other-Hydrophilic,TMAOH-FGF,Positive,Protein,FGF,Stem-cell,hAM-dMSCs,Human ,Primary,Amniotic-membrane,MTT,Active,96,5.5E+00,5.5E+01,3.3E+07,5.2E-01,4.7E-02,0.0,NA,IC50,1.3E+00,2.3E+00,1.3E+00,1.4E+00,7.5E-01,5.5E+00,3.0E+00,9.1E+02,413,
2523,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,24,1.0E+02,1.4E+04,8.6E+09,9.6E+00,1.2E+01,50.0,NA,IC50,7.9E+01,1.0E+02,7.9E+01,1.0E+01,7.9E+00,1.0E+02,7.9E+01,2.2E+04,414,
2524,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,0.5,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,93.5,NA,Over50,NA,NA,NA,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2525,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,1,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,68.6,NA,Over50,NA,NA,NA,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2526,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,2,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,35.8,NA,IC50,1.1E+01,1.4E+01,1.1E+01,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2527,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,3,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,11.9,NA,IC50,7.9E+00,1.0E+01,7.9E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2528,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,4,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,4.4,NA,IC50,7.1E+00,9.0E+00,7.1E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2529,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,5,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,2.6,NA,IC50,6.3E+00,8.0E+00,6.3E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2530,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,10,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,3.3,NA,IC50,4.3E+00,5.5E+00,4.3E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2531,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,15,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,4.0,NA,IC50,3.9E+00,5.0E+00,3.9E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2532,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,20,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,3.5,NA,IC50,3.7E+00,4.7E+00,3.7E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2533,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HFF,Human ,Cell-line,Foreskin,Live/dead-staining,Passive,24,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,3.5,NA,IC50,3.5E+00,4.5E+00,3.5E+00,3.0E+00,2.4E+00,1.8E+01,1.4E+01,3.9E+03,414,
2534,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HDF,Human ,Primary,Skin,Live/dead-staining,Passive,1,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,85.7,5.3,NA,NA,NA,NA,NA,NA,1.8E+01,1.4E+01,3.9E+03,414,
2535,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HDF,Human ,Primary,Skin,Live/dead-staining,Passive,2,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,28.2,5.3,NA,NA,NA,NA,NA,NA,1.8E+01,1.4E+01,3.9E+03,414,
2536,In-house,CdSe,ZnS,8.3,620,Aminopolymer,b-PEI,Positive,Unmodified,Unmodified,Fibroblast,HDF,Human ,Primary,Skin,Live/dead-staining,Passive,3,1.8E+01,2.6E+03,1.5E+09,1.7E+00,2.2E+00,8.9,5.3,NA,NA,NA,NA,NA,NA,1.8E+01,1.4E+01,3.9E+03,414,
